"","PlayerName","pos","points","marg","value"
"612","Darrin Reaves","rb",0,-108.205,0
"613","Marcus Murphy","rb",0,-108.205,0
"614","Terrell Watson","rb",0,-108.205,0
"615","Dreamius Smith","rb",0,-108.205,0
"616","Ahmad Bradshaw","rb",0,-108.205,0
"617","Cyrus Gray","rb",0,-108.205,0
"618","Dan Herron","rb",0,-108.205,0
"619","Joe Banyard","rb",0,-108.205,0
"620","Bishop Sankey","rb",0,-108.205,0
"621","Tyler Gaffney","rb",0,-108.205,0
"622","Dri Archer","rb",0,-108.205,0
"623","Kapri Bibbs","rb",0,-108.205,0
"624","Senorise Perry","rb",0,-108.205,0
"625","Mark Sanchez","qb",144.186,-108.582,0
"626","James Wilder Jr.","rb",-0.4,-108.605,0
"627","Blaine Gabbert","qb",144.114,-108.654,0
"628","George Winn","rb",-0.75,-108.955,0
"629","Tom Obarski","k",0,-130.5,0
"630","Colin Kaepernick","qb",82.458,-170.31,0
"631","Paxton Lynch","qb",62.84,-189.928,0
"632","Jimmy Garoppolo","qb",60.214,-192.554,0
"633","Carson Wentz","qb",45.174,-207.594,0
"634","Josh McCown","qb",42.322,-210.446,0
"635","Trevor Siemian","qb",23.552,-229.216,0
"636","Chase Daniel","qb",19.498,-233.27,0
"637","Brian Hoyer","qb",18.944,-233.824,0
"638","Geno Smith","qb",16.71,-236.058,0
"639","Kellen Moore","qb",14.27,-238.498,0
"640","Christian Hackenberg","qb",12.464,-240.304,0
"641","Matt Flynn","qb",12.414,-240.354,0
"642","Cody Kessler","qb",12.04,-240.728,0
"643","Trevone Boykin","qb",11.74,-241.028,0
"644","E.J. Manuel","qb",11.692,-241.076,0
"645","AJ McCarron","qb",11.416,-241.352,0
"646","Case Keenum","qb",11.162,-241.606,0
"647","Brandon Weeden","qb",10.994,-241.774,0
"648","Drew Stanton","qb",9.984,-242.784,0
"649","Landry Jones","qb",9.81,-242.958,0
"650","Zach Mettenberger","qb",9.36,-243.408,0
"651","David Fales","qb",9.07,-243.698,0
"652","Colt McCoy","qb",8.792,-243.976,0
"653","Mike Glennon","qb",8.704,-244.064,0
"654","Shaun Hill","qb",8.602,-244.166,0
"655","Dak Prescott","qb",8.34,-244.428,0
"656","Dan Orlovsky","qb",8.288,-244.48,0
"657","Matt McGloin","qb",8.164,-244.604,0
