"","PlayerName","pos","points","marg","value"
"186","Jack Doyle","te",23.86,-36.785,0
"187","Victor Cruz","wr",37.725,-37.205,0
"188","Hunter Henry","te",23.185,-37.46,0
"189","Jamison Crowder","wr",36.935,-37.995,0
"190","Mychal Rivera","te",22.52,-38.125,0
"191","Jay Ajayi","rb",89.04,-38.285,0
"192","Gavin Escobar","te",22.25,-38.395,0
"193","Rueben Randle","wr",36.305,-38.625,0
"194","Davante Adams","wr",36.275,-38.655,0
"195","Seth Roberts","wr",35.765,-39.165,0
"196","Tyler Higbee","te",21.26,-39.385,0
"197","Kenny Stills","wr",35.5,-39.43,0
"198","Danny Amendola","wr",35.03,-39.9,0
"199","Bruce Ellington","wr",34.89,-40.04,0
"200","Eddie Royal","wr",34.81,-40.12,0
"201","Tyler Kroft","te",20.31,-40.335,0
"202","Marcedes Lewis","te",20.025,-40.62,0
"203","Jarius Wright","wr",34.135,-40.795,0
"204","Cecil Shorts","wr",33.78,-41.15,0
"205","Brandon Coleman","wr",33.27,-41.66,0
"206","Austin Hooper","te",18.365,-42.28,0
"207","Anthony Fasano","te",18.35,-42.295,0
"208","Charles Sims","rb",85.01,-42.315,0
"209","Chris Gragg","te",18.01,-42.635,0
"210","Ryan Hewitt","te",17.765,-42.88,0
"211","Ed Dickson","te",17.56,-43.085,0
"212","Chris Conley","wr",31.59,-43.34,0
"213","James O'Shaughnessy","te",17.29,-43.355,0
"214","Jesse James","te",17.185,-43.46,0
"215","James Jones","wr",31.215,-43.715,0
"216","Albert Wilson","wr",31.2,-43.73,0
"217","Derrick Henry","rb",83.555,-43.77,0
"218","Dion Sims","te",16.705,-43.94,0
"219","Justin Hardy","wr",30.805,-44.125,0
"220","Maxx Williams","te",16.48,-44.165,0
"221","Jim Dray","te",16.325,-44.32,0
"222","Cory Harkey","te",16.02,-44.625,0
"223","Philly Brown","wr",30.155,-44.775,0
"224","C.J. Fiedorowicz","te",15.72,-44.925,0
"225","Andrew Hawkins","wr",29.305,-45.625,0
"226","Craig Stevens","te",14.84,-45.805,0
"227","Blake Bell","te",14.705,-45.94,0
"228","Rhett Ellison","te",14.56,-46.085,0
"229","Kenny Bell","wr",28.84,-46.09,0
"230","Mario Alford","wr",28.76,-46.17,0
"231","Brian Quick","wr",28.685,-46.245,0
"232","Dontrelle Inman","wr",28.41,-46.52,0
"233","Jeff Janis","wr",28.215,-46.715,0
"234","Rob Housler","te",13.785,-46.86,0
"235","James Hanna","te",13.725,-46.92,0
"236","Brandon Pettigrew","te",13.505,-47.14,0
"237","Bruce Miller","te",13.3,-47.345,0
"238","Andre Holmes","wr",27.41,-47.52,0
"239","Dwayne Harris","wr",27.405,-47.525,0
"240","Lee Smith","te",13.115,-47.53,0
"241","Niles Paul","te",12.96,-47.685,0
"242","Bilal Powell","rb",79.335,-47.99,0
"243","J.J. Nelson","wr",26.4,-48.53,0
"244","Darrius Heyward-Bey","wr",26.21,-48.72,0
"245","Marqise Lee","wr",26.11,-48.82,0
"246","James Starks","rb",78.495,-48.83,0
"247","Darren Sproles","rb",78.245,-49.08,0
"248","Quinton Patton","wr",25.685,-49.245,0
"249","Leonard Hankerson","wr",25.665,-49.265,0
"250","Ty Montgomery","wr",25.435,-49.495,0
"251","Leonte Carroo","wr",25.415,-49.515,0
"252","De'Anthony Thomas","wr",25.405,-49.525,0
"253","Vernon Davis","te",10.98,-49.665,0
"254","Kellen Davis","te",10.675,-49.97,0
"255","Charles Johnson","wr",24.815,-50.115,0
"256","Michael Hoomanawanui","te",10.405,-50.24,0
"257","Garrett Graham","te",10.305,-50.34,0
"258","Rashad Greene","wr",24.48,-50.45,0
"259","Brian Hartline","wr",24.375,-50.555,0
"260","Devin Fuller","wr",24.25,-50.68,0
"261","Pharoh Cooper","wr",23.81,-51.12,0
"262","Troy Niklas","te",9.47,-51.175,0
"263","MyCole Pruitt","te",9.46,-51.185,0
"264","Brice Butler","wr",23.575,-51.355,0
"265","Demetrius Harris","te",9.08,-51.565,0
"266","DeAndre Smelter","wr",23.35,-51.58,0
"267","Cooper Helfet","te",8.735,-51.91,0
"268","Adrien Robinson","te",8.65,-51.995,0
"269","Trey Burton","te",8.265,-52.38,0
"270","Derek Carrier","te",7.935,-52.71,0
"271","Nate Washington","wr",22.1,-52.83,0
"272","Marquess Wilson","wr",21.85,-53.08,0
"273","Matt Spaeth","te",7.435,-53.21,0
"274","Josh Huff","wr",21.62,-53.31,0
"275","Taylor Gabriel","wr",21.565,-53.365,0
"276","Levine Toilolo","te",7.205,-53.44,0
"277","Bennie Fowler","wr",21.23,-53.7,0
"278","Jeff Cumberland","te",6.675,-53.97,0
"279","C.J. Uzomah","te",6.605,-54.04,0
"280","Shane Vereen","rb",73.205,-54.12,0
"281","Justin Perillo","te",6.48,-54.165,0
"282","Louis Murphy","wr",20.44,-54.49,0
"283","Logan Paulsen","te",6.055,-54.59,0
"284","Jake Stoneburner","te",5.995,-54.65,0
"285","Devin Smith","wr",20.255,-54.675,0
"286","Clay Harbor","te",5.68,-54.965,0
"287","Paul Richardson","wr",19.91,-55.02,0
"288","Justice Cunningham","te",5.525,-55.12,0
"289","Terrelle Pryor","wr",19.79,-55.14,0
"290","Dezmin Lewis","wr",19.7,-55.23,0
"291","Jordan Howard","rb",71.415,-55.91,0
"292","Quincy Enunwa","wr",18.87,-56.06,0
"293","Dennis Pitta","te",4.585,-56.06,0
"294","Zach Sudfeld","te",4.585,-56.06,0
"295","Brandon Myers","te",4.49,-56.155,0
"296","Jordan Norwood","wr",17.83,-57.1,0
"297","John Phillips","te",3.525,-57.12,0
"298","Nick Williams","wr",17.685,-57.245,0
"299","Tajae Sharpe","wr",17.67,-57.26,0
"300","Nick O'Leary","te",3.295,-57.35,0
"301","Luke Stocker","te",3.065,-57.58,0
"302","E.J. Bibbs","te",2.945,-57.7,0
"303","Jerell Adams","te",2.885,-57.76,0
"304","Robert Griffin","qb",228.214,-57.78,0
"305","Nic Jacobs","te",2.835,-57.81,0
"306","Ryan Grant","wr",17.08,-57.85,0
"307","David Johnson","te",2.63,-58.015,0
"308","Braxton Miller","wr",16.675,-58.255,0
"309","Sean McGrath","te",2.355,-58.29,0
"310","Stedman Bailey","wr",16.595,-58.335,0
"311","Nick Boyle","te",2.3,-58.345,0
"312","Brandon Bostick","te",2.275,-58.37,0
"313","Jeremy Kerley","wr",16.42,-58.51,0
"314","Harry Douglas","wr",16.26,-58.67,0
"315","Jared Abbrederis","wr",16.205,-58.725,0
"316","Nick Vannett","te",1.75,-58.895,0
"317","Keshawn Martin","wr",15.91,-59.02,0
"318","Phillip Supernaw","te",1.56,-59.085,0
"319","Chris Pantale","te",1.5,-59.145,0
"320","Cody Latimer","wr",15.73,-59.2,0
"321","Brian Parker","te",1.315,-59.33,0
"322","Khari Lee","te",1.305,-59.34,0
"323","Erik Swoope","te",1.2,-59.445,0
"324","Tevin Coleman","rb",67.785,-59.54,0
"325","T.J. Graham","wr",15.15,-59.78,0
"326","Adam Humphries","wr",15.14,-59.79,0
"327","Beau Sandland","te",0.75,-59.895,0
"328","Temarrick Hemingway","te",0.55,-60.095,0
"329","Ronnie Hillman","rb",67.01,-60.315,0
"330","Javorius Allen","rb",66.825,-60.5,0
"331","Scott Simonson","te",0.05,-60.595,0
"332","Randall Telfer","te",0.05,-60.595,0
"333","Matt LaCosse","te",0.05,-60.595,0
"334","Scott Chandler","te",0,-60.645,0
"335","Orson Charles","te",0,-60.645,0
"336","Dominique Jones","te",0,-60.645,0
"337","MarQueis Gray","te",0,-60.645,0
"338","Brandon Williams","te",0,-60.645,0
"339","Marcel Jensen","te",0,-60.645,0
"340","Xavier Grimble","te",0,-60.645,0
"341","Bear Pascoe","te",0,-60.645,0
"342","Chase Coffman","te",0,-60.645,0
"343","Kennard Backman","te",0,-60.645,0
"344","Gabe Holmes","te",0,-60.645,0
"345","Matthew Mulligan","te",0,-60.645,0
"346","Tony Moeaki","te",0,-60.645,0
"347","Owen Daniels","te",0,-60.645,0
"348","Thomas Duarte","te",0,-60.645,0
"349","Chris Givens","wr",14.15,-60.78,0
"350","Theo Riddick","rb",66.505,-60.82,0
"351","Chris Johnson","rb",66.49,-60.835,0
"352","Corey Fuller","wr",14.09,-60.84,0
"353","Chris Matthews","wr",14.05,-60.88,0
"354","TJ Jones","wr",13.83,-61.1,0
"355","Jaron Brown","wr",13.83,-61.1,0
"356","Malcolm Mitchell","wr",13.51,-61.42,0
"357","Tyrell Williams","wr",13.32,-61.61,0
"358","Andre Johnson","wr",13.315,-61.615,0
"359","Rashard Higgins","wr",12.785,-62.145,0
"360","Aaron Dobson","wr",11.95,-62.98,0
"361","Josh Bellamy","wr",11.86,-63.07,0
"362","Josh Boyce","wr",11.775,-63.155,0
